"X1","Kingdom","Phylum","Class","Order","Family","Genus","Species","spore","temp"
"ASV4208","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","JCM_18997",NA,NA,NA
"ASV4221","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Allisonella",NA,NA,NA
"ASV4223","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","Butyricimonas","paravirosa",NA,NA
"ASV4224","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia","albidiflava",NA,NA
"ASV4225","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Brachymonas",NA,NA,NA
"ASV4226","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Anaerofustis",NA,NA,NA
"ASV4231","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Family_XIII_UCG-001",NA,NA,NA
"ASV4238","Eukaryota","Mucoromycota","Incertae_Sedis","Mucorales","Rhizopodaceae","Rhizopus",NA,NA,NA
"ASV4242","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseovarius",NA,NA,NA
"ASV4251","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Pelagibacterium","luteolum",NA,NA
"ASV4256","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Gracilibacillus",NA,NA,NA
"ASV4278","Bacteria","Tenericutes","Mollicutes","Haloplasmatales","Haloplasmataceae","Haloplasma",NA,NA,NA
"ASV4291","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873",NA,NA,NA
"ASV4293","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Nibribacter",NA,NA,NA
"ASV4302","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1","stationis",NA,NA
"ASV4303","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanocorpusculaceae","Methanocorpusculum",NA,NA,NA
"ASV4305","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sandaracinobacter",NA,NA,NA
"ASV4306","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","goldsteinii",NA,NA
"ASV4308","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halococcaceae","Halococcus",NA,NA,NA
"ASV4309","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acidiphilium",NA,NA,NA
"ASV4312","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Hypnocyclicus",NA,NA,NA
"ASV4314","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Pseudoclavibacter","bifida",NA,NA
"ASV4320","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix",NA,NA,NA
"ASV4322","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Fulvimonas",NA,NA,NA
"ASV4324","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","Belliella",NA,NA,NA
"ASV4329","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",NA,NA,NA
"ASV4334","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Williamsia",NA,NA,NA
