"X1","Kingdom","Phylum","Class","Order","Family","Genus","Species","spore","temp"
"ASV2702","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter",NA,NA,NA
"ASV2703","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","11-24",NA,NA,NA,NA,NA
"ASV2704","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Terribacillus",NA,NA,NA
"ASV2705","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,NA,NA
"ASV2706","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium",NA,NA,NA
"ASV2707","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA,NA,NA
"ASV2708","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14",NA,NA,NA,NA
"ASV2709","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","benzoevorans",NA,NA
"ASV2710","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA,NA,NA
"ASV2711","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA,NA,NA
"ASV2712","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella",NA,NA,NA
"ASV2713","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Sporocytophaga",NA,NA,NA
"ASV2714","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus",NA,NA,NA
"ASV2715","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Brevibacillus",NA,NA,NA
"ASV2716","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","aurantiacus",NA,NA
"ASV2717","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14",NA,NA,NA,NA
"ASV2718","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Ellin6055",NA,NA,NA
"ASV2719","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae",NA,NA,NA,NA
"ASV2720","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","LachnospiraceaeNK4A136group",NA,NA,NA
"ASV2721","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Gemmobacter",NA,NA,NA
"ASV2722","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,NA,NA
"ASV2723","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga",NA,NA,NA
"ASV2724","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA,NA,NA
"ASV2725","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter",NA,NA,NA
"ASV2726","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,NA,NA
"ASV2727","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae",NA,NA,NA,NA
"ASV2728","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,NA,NA
"ASV2729","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Virgibacillus",NA,NA,NA
"ASV2730","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa",NA,NA,NA
"ASV2731","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","herbicidovorans",NA,NA
"ASV2732","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,NA,NA
